상권명,상권유형,업종,20254_전체점포수,20254_개업수,20254_폐업수,20254실제,20261실제,20261예측,오차
미아역 8번,골목상권,한식음식점,19,1,2,11,5.0,4.47,-0.53
미아초등학교,골목상권,한식음식점,6,0,1,17,0.0,3.18,3.18
바우뫼공원,골목상권,한식음식점,9,0,0,0,0.0,3.66,3.66
반포4동주민센터(몽마르뜨공원),골목상권,한식음식점,2,0,0,0,0.0,2.42,2.42
발바닥공원,골목상권,한식음식점,1,0,0,0,0.0,2.01,2.01
발산역 5번,골목상권,한식음식점,25,0,4,16,0.0,4.5,4.5
방배노인종합복지관(이수중학교),골목상권,한식음식점,6,0,0,0,0.0,3.29,3.29
방배동사이길,골목상권,한식음식점,3,1,1,33,0.0,3.83,3.83
방배아이파크아파트,골목상권,한식음식점,10,0,1,10,0.0,3.68,3.68
방배역 1번,골목상권,한식음식점,2,0,0,0,0.0,2.45,2.45
방배역 3번,골목상권,한식음식점,4,0,0,0,0.0,2.94,2.94
방배초등학교,골목상권,한식음식점,21,1,1,5,5.0,4.62,-0.38
방아다리근린공원(횃불트리니티신학대학원대학교),골목상권,한식음식점,4,0,0,0,0.0,2.97,2.97
방이동고분군(방산고등학교),골목상권,한식음식점,9,1,1,11,0.0,4.01,4.01
방이역 1번,골목상권,한식음식점,19,0,1,5,0.0,4.31,4.31
방이역 2번,골목상권,한식음식점,12,0,0,0,0.0,3.91,3.91
방이역 4번,골목상권,한식음식점,92,2,2,2,3.0,5.98,2.98
방학1동주민센터,골목상권,한식음식점,57,1,2,4,3.0,5.49,2.49
방학역 1번,골목상권,한식음식점,52,0,1,2,6.0,5.32,-0.68
방학역 2번,골목상권,한식음식점,42,2,0,0,2.0,5.34,3.34
방학중학교,골목상권,한식음식점,30,0,1,3,0.0,4.77,4.77
방학초등학교,골목상권,한식음식점,21,2,1,5,5.0,4.82,-0.18
방현초등학교(방배119안전센터),골목상권,한식음식점,9,0,0,0,0.0,3.66,3.66
방화역 1번,골목상권,한식음식점,22,0,0,0,5.0,4.49,-0.51
방화역 2번,골목상권,한식음식점,16,0,0,0,0.0,4.18,4.18
방화역 3번,골목상권,한식음식점,13,0,0,0,0.0,3.98,3.98
방화초등학교,골목상권,한식음식점,2,0,0,0,0.0,2.49,2.49
배꽃어린이공원,골목상권,한식음식점,2,0,0,0,0.0,2.42,2.42
배문고등학교,골목상권,한식음식점,19,1,0,0,24.0,4.56,-19.44
배화여자대학교(박노수미술관),골목상권,한식음식점,18,0,0,0,13.0,4.29,-8.71
백련산해모로아파트,골목상권,한식음식점,9,0,0,0,0.0,3.64,3.64
백산초등학교,골목상권,한식음식점,5,0,0,0,0.0,3.14,3.14
백석중학교,골목상권,한식음식점,1,0,0,0,0.0,2.01,2.01
번동주공2단지,골목상권,한식음식점,11,1,0,0,10.0,4.19,-5.81
벌말어린이공원,골목상권,한식음식점,12,0,2,17,0.0,3.78,3.78
법제교육센터(버들어린이공원),골목상권,한식음식점,6,0,0,0,0.0,3.29,3.29
베르사이유1아파트,골목상권,한식음식점,4,0,0,0,0.0,2.94,2.94
보라매동주민센터(당곡고등학교),골목상권,한식음식점,7,0,1,14,29.0,3.31,-25.69
보라매역 2번,골목상권,한식음식점,15,0,0,0,0.0,4.12,4.12
보라매역 4번,골목상권,한식음식점,9,0,0,0,25.0,3.66,-21.34
보라매역 6번,골목상권,한식음식점,25,1,0,0,8.0,4.78,-3.22
보문역 4번,골목상권,한식음식점,12,0,0,0,17.0,3.92,-13.08
보문역 5번,골목상권,한식음식점,21,1,0,0,10.0,4.65,-5.35
보문역 8번,골목상권,한식음식점,8,0,0,0,14.0,3.54,-10.46
보인중학교,골목상권,한식음식점,21,0,1,5,0.0,4.41,4.41
본마을노인복지센터(서초구립내곡도서관),골목상권,한식음식점,1,0,0,0,0.0,2.01,2.01
봉원사,골목상권,한식음식점,3,0,1,33,0.0,2.47,2.47
봉은사역 4번,골목상권,한식음식점,5,0,0,0,0.0,3.12,3.12
봉천역 1번(관악초등학교),골목상권,한식음식점,16,0,0,0,6.0,4.18,-1.82
봉천역 4번(봉천110안전센터),골목상권,한식음식점,45,3,6,13,2.0,5.39,3.39
봉천역 6번,골목상권,한식음식점,11,1,0,0,10.0,4.19,-5.81
북가좌2동주민센터,골목상권,한식음식점,21,1,1,5,5.0,4.62,-0.38
북가좌초등학교,골목상권,한식음식점,15,0,0,0,6.0,4.12,-1.88
북정마을,골목상권,한식음식점,1,0,0,0,0.0,2.01,2.01
북한산보국문역 1번,골목상권,한식음식점,5,1,0,0,0.0,3.94,3.94
북한산보국문역 2번,골목상권,한식음식점,6,0,0,0,0.0,3.29,3.29
북한산우이역 2번,골목상권,한식음식점,21,0,1,5,5.0,4.41,-0.59
불광역 3번,골목상권,한식음식점,13,1,1,8,0.0,4.25,4.25
불광역 7번,골목상권,한식음식점,27,1,0,0,4.0,4.86,0.86
